quantity,value,unit
sector,51,TESS sector
period_days,4.0552941,days; NASA Exoplanet Archive
published_duration_hours,2.8032,hours; NASA Exoplanet Archive
a_over_rstar,11.0561714164,fixed from saved a and stellar radius
limb_darkening_u1,0.34,fixed quadratic coefficient
limb_darkening_u2,0.21,fixed quadratic coefficient
quality_filtered_cadences,8033,count
symmetric_outliers_clipped,0,count
n_points,1572,
n_in_transit,260,
n_out_of_transit,1312,
depth_ppm,23024.9171796,
depth_error_ppm,219.732468956,
depth_snr,104.786139659,
formal_depth_error_ppm,219.03830357,
reduced_chi_square,1.00634834485,
radius_ratio,0.14388470919,
radius_ratio_error,0.000754021783838,
impact_parameter,0.501252670285,
impact_parameter_error,0.00910871802208,
timing_shift_hours,-0.360356412932,
timing_error_minutes,0.395032792457,
fitted_duration_hours,2.88826699245,
chi_square_null,13993.7185355,
dof_null,1570,
p_value_null,0,
chi_square_transit,1576.94785638,
dof_transit,1567,
p_value_transit,0.424958251628,
delta_chi_square,12416.7706791,
delta_dof,3,
p_value_improvement,0,
bic_null,14008.4387434,
bic_transit,1613.74837625,
delta_bic,12394.6903672,
transit_supported,True,
